Project Name,Package Name,Type Name,Code Smell
main,com.dalhousie.Neighbourly.authentication.controller,AuthenticationController,Unutilized Abstraction
main,com.dalhousie.Neighbourly.authentication.entity,Otp,Unnecessary Abstraction
main,com.dalhousie.Neighbourly.authentication.entity,PasswordReset,Unnecessary Abstraction
main,com.dalhousie.Neighbourly.authentication.jwt,JwtServiceImpl,Unutilized Abstraction
main,com.dalhousie.Neighbourly.authentication.requestEntity,AuthenticateRequest,Unnecessary Abstraction
main,com.dalhousie.Neighbourly.authentication.requestEntity,ForgotPasswordRequest,Unnecessary Abstraction
main,com.dalhousie.Neighbourly.authentication.requestEntity,OtpVerificationRequest,Unnecessary Abstraction
main,com.dalhousie.Neighbourly.authentication.requestEntity,RegisterRequest,Unnecessary Abstraction
main,com.dalhousie.Neighbourly.authentication.requestEntity,ResendOtpRequest,Unnecessary Abstraction
main,com.dalhousie.Neighbourly.authentication.requestEntity,ResetPasswordRequest,Unnecessary Abstraction
main,com.dalhousie.Neighbourly.authentication.responseEntity,AuthenticationResponse,Unnecessary Abstraction
main,com.dalhousie.Neighbourly.authentication.responseEntity,PasswordResetTokenResponse,Unnecessary Abstraction
main,com.dalhousie.Neighbourly.authentication.service,AuthenticationServiceImpl,Unutilized Abstraction
main,com.dalhousie.Neighbourly.authentication.service,OtpServiceImpl,Unutilized Abstraction
main,com.dalhousie.Neighbourly.authentication.service,TokenExpiredException,Unutilized Abstraction
main,com.dalhousie.Neighbourly.authentication.service,ResetTokenServiceImpl,Unutilized Abstraction
main,com.dalhousie.Neighbourly.community.controller,CreateCommunityController,Unutilized Abstraction
main,com.dalhousie.Neighbourly.community.controller,JoinCommunityController,Unutilized Abstraction
main,com.dalhousie.Neighbourly.community.dto,CreateCommunityDTO,Unnecessary Abstraction
main,com.dalhousie.Neighbourly.community.dto,CreateCommunityDTO,Broken Modularization
main,com.dalhousie.Neighbourly.community.dto,JoinCommunityDTO,Unnecessary Abstraction
main,com.dalhousie.Neighbourly.community.dto,JoinCommunityDTO,Broken Modularization
main,com.dalhousie.Neighbourly.community.entities,CommunityResponse,Unnecessary Abstraction
main,com.dalhousie.Neighbourly.community.repository,JoinCommunityRepository,Unnecessary Abstraction
main,com.dalhousie.Neighbourly.community.repository,JoinCommunityRepository,Unutilized Abstraction
main,com.dalhousie.Neighbourly.config,ApplicationConfig,Unutilized Abstraction
main,com.dalhousie.Neighbourly.config,CorsConfig,Unutilized Abstraction
main,com.dalhousie.Neighbourly.config,SecurityConfig,Unutilized Abstraction
main,com.dalhousie.Neighbourly.helprequest.controller,HelpRequestController,Unutilized Abstraction
main,com.dalhousie.Neighbourly.helprequest.model,HelpRequest,Broken Modularization
main,com.dalhousie.Neighbourly.neighbourhood.entity,Neighbourhood,Unnecessary Abstraction
main,com.dalhousie.Neighbourly.neighbourhood.service,NeighbourhoodServiceImpl,Unutilized Abstraction
main,com.dalhousie.Neighbourly.parking.controller,ParkingSpaceController,Unutilized Abstraction
main,com.dalhousie.Neighbourly.parking.dto,BrowseParkingSpaceRequestDTO,Unnecessary Abstraction
main,com.dalhousie.Neighbourly.parking.dto,BrowseParkingSpaceRequestDTO,Broken Modularization
main,com.dalhousie.Neighbourly.parking.dto,BrowseParkingSpaceResponseDTO,Broken Modularization
main,com.dalhousie.Neighbourly.parking.dto,CreateParkingSpaceRequestDTO,Broken Modularization
main,com.dalhousie.Neighbourly.parking.dto,CreateParkingSpaceResponseDTO,Broken Modularization
main,com.dalhousie.Neighbourly.parking.entity,ParkingSpace,Broken Modularization
main,com.dalhousie.Neighbourly.parking.service,ParkingSpaceServiceImpl,Unutilized Abstraction
main,com.dalhousie.Neighbourly.post.controller,PostController,Unutilized Abstraction
main,com.dalhousie.Neighbourly.post.dto,PostRequest,Unnecessary Abstraction
main,com.dalhousie.Neighbourly.post.dto,PostResponse,Broken Modularization
main,com.dalhousie.Neighbourly.post.entity,Post,Broken Modularization
main,com.dalhousie.Neighbourly.post.service,PostServiceImpl,Unutilized Abstraction
main,com.dalhousie.Neighbourly.user.service,UserServiceImpl,Unutilized Abstraction
