Project Name,Package Name,Type Name,Method Name,Code Smell
main,com.dalhousie.Neighbourly.authentication.controller,AuthenticationController,forgotPassword,Long Statement
main,com.dalhousie.Neighbourly.authentication.jwt,JwtServiceImpl,buildToken,Long Statement
main,com.dalhousie.Neighbourly.authentication.jwt,JwtServiceImpl,buildToken,Long Statement
main,com.dalhousie.Neighbourly.authentication.service,AuthenticationServiceImpl,forgotPassword,Long Statement
main,com.dalhousie.Neighbourly.authentication.service,AuthenticationServiceImpl,prepareAndDispatchResetPwdLink,Long Statement
main,com.dalhousie.Neighbourly.config,ApplicationConfig,javaMailSender,Magic Number
main,com.dalhousie.Neighbourly.config,CorsConfig,corsConfigurationSource,Magic Number
main,com.dalhousie.Neighbourly.config,JwtAuthenticationFilter,buildAuthenticationToken,Long Statement
main,com.dalhousie.Neighbourly.helprequest.controller,HelpRequestController,buildSuccessResponse,Long Statement
main,com.dalhousie.Neighbourly.helprequest.controller,HelpRequestController,buildFailureResponse,Long Statement
main,com.dalhousie.Neighbourly.parking.controller,ParkingSpaceController,createParkingSpace,Long Statement
main,com.dalhousie.Neighbourly.parking.controller,ParkingSpaceController,createParkingSpace,Long Statement
main,com.dalhousie.Neighbourly.parking.controller,ParkingSpaceController,browseParkingSpace,Long Parameter List
main,com.dalhousie.Neighbourly.parking.controller,ParkingSpaceController,browseParkingSpace,Long Statement
main,com.dalhousie.Neighbourly.parking.controller,ParkingSpaceController,browseParkingSpace,Long Statement
main,com.dalhousie.Neighbourly.parking.controller,ParkingSpaceController,browseParkingSpace,Long Statement
main,com.dalhousie.Neighbourly.parking.controller,ParkingSpaceController,reserveParkingSpace,Long Statement
main,com.dalhousie.Neighbourly.parking.controller,ParkingSpaceController,unreserveParkingSpace,Long Statement
main,com.dalhousie.Neighbourly.parking.controller,ParkingSpaceController,unreserveParkingSpace,Long Statement
main,com.dalhousie.Neighbourly.parking.controller,ParkingSpaceController,deleteParkingSpace,Long Statement
main,com.dalhousie.Neighbourly.parking.controller,ParkingSpaceController,deleteParkingSpace,Long Statement
main,com.dalhousie.Neighbourly.parking.service,ParkingSpaceServiceImpl,createParkingSpace,Long Statement
main,com.dalhousie.Neighbourly.parking.service,ParkingSpaceServiceImpl,browseParkingSpaceByNeighbourhood,Long Statement
main,com.dalhousie.Neighbourly.parking.service,ParkingSpaceServiceImpl,mapToBrowseResponse,Long Statement
main,com.dalhousie.Neighbourly.parking.service,ParkingSpaceServiceImpl,mapToResponse,Long Statement
main,com.dalhousie.Neighbourly.parking.service,ParkingSpaceServiceImpl,unreserveParkingSpace,Long Statement
main,com.dalhousie.Neighbourly.parking.service,ParkingSpaceServiceImpl,deleteParkingSpace,Long Statement
main,com.dalhousie.Neighbourly.post.controller,PostController,createPost,Long Statement
main,com.dalhousie.Neighbourly.post.controller,PostController,createPost,Long Statement
main,com.dalhousie.Neighbourly.post.controller,PostController,updatePostContent,Long Statement
main,com.dalhousie.Neighbourly.post.controller,PostController,updatePostContent,Long Statement
main,com.dalhousie.Neighbourly.post.controller,PostController,approvePost,Long Statement
main,com.dalhousie.Neighbourly.post.controller,PostController,approvePost,Long Statement
main,com.dalhousie.Neighbourly.post.controller,PostController,deletePost,Long Statement
main,com.dalhousie.Neighbourly.post.controller,PostController,getApprovedPosts,Long Statement
main,com.dalhousie.Neighbourly.post.controller,PostController,getApprovedPosts,Long Statement
main,com.dalhousie.Neighbourly.post.controller,PostController,getDisapprovedPostsbyNeighbourhood,Long Statement
main,com.dalhousie.Neighbourly.post.controller,PostController,getDisapprovedPostsbyNeighbourhood,Long Statement
main,com.dalhousie.Neighbourly.post.service,PostServiceImpl,mapToResponse,Long Statement
