Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
main,com.dalhousie.Neighbourly.authentication.controller,AuthenticationController,register,24,1,1
main,com.dalhousie.Neighbourly.authentication.controller,AuthenticationController,login,24,1,1
main,com.dalhousie.Neighbourly.authentication.controller,AuthenticationController,verifyOtp,23,1,1
main,com.dalhousie.Neighbourly.authentication.controller,AuthenticationController,resendOtp,16,1,1
main,com.dalhousie.Neighbourly.authentication.controller,AuthenticationController,forgotPassword,26,1,2
main,com.dalhousie.Neighbourly.authentication.controller,AuthenticationController,resetPassword,33,1,1
main,com.dalhousie.Neighbourly.authentication.jwt,JwtService,extractUsername,0,1,1
main,com.dalhousie.Neighbourly.authentication.jwt,JwtService,generateToken,0,1,2
main,com.dalhousie.Neighbourly.authentication.jwt,JwtService,isEmailVerified,0,1,1
main,com.dalhousie.Neighbourly.authentication.jwt,JwtService,isTokenValid,0,1,2
main,com.dalhousie.Neighbourly.authentication.jwt,JwtServiceImpl,extractUsername,9,1,1
main,com.dalhousie.Neighbourly.authentication.jwt,JwtServiceImpl,isEmailVerified,9,1,1
main,com.dalhousie.Neighbourly.authentication.jwt,JwtServiceImpl,generateToken,5,1,2
main,com.dalhousie.Neighbourly.authentication.jwt,JwtServiceImpl,isTokenValid,5,1,2
main,com.dalhousie.Neighbourly.authentication.jwt,JwtServiceImpl,isTokenExpired,9,1,1
main,com.dalhousie.Neighbourly.authentication.jwt,JwtServiceImpl,extractClaim,4,1,2
main,com.dalhousie.Neighbourly.authentication.jwt,JwtServiceImpl,extractAllClaims,3,1,1
main,com.dalhousie.Neighbourly.authentication.jwt,JwtServiceImpl,getSignInKey,4,1,0
main,com.dalhousie.Neighbourly.authentication.jwt,JwtServiceImpl,buildToken,4,1,2
main,com.dalhousie.Neighbourly.authentication.repository,OtpRepository,findByOtp,0,1,1
main,com.dalhousie.Neighbourly.authentication.repository,OtpRepository,findByUserId,0,1,1
main,com.dalhousie.Neighbourly.authentication.repository,OtpRepository,deleteByUserId,0,1,1
main,com.dalhousie.Neighbourly.authentication.repository,PasswordResetTokenRepository,findByUserId,0,1,1
main,com.dalhousie.Neighbourly.authentication.service,AuthenticationService,registerUser,0,1,1
main,com.dalhousie.Neighbourly.authentication.service,AuthenticationService,resendOtp,0,1,1
main,com.dalhousie.Neighbourly.authentication.service,AuthenticationService,getURL,0,1,1
main,com.dalhousie.Neighbourly.authentication.service,AuthenticationService,authenticateUser,0,1,1
main,com.dalhousie.Neighbourly.authentication.service,AuthenticationService,verifyOtp,0,1,1
main,com.dalhousie.Neighbourly.authentication.service,AuthenticationService,forgotPassword,0,1,2
main,com.dalhousie.Neighbourly.authentication.service,AuthenticationService,resetPassword,0,1,3
main,com.dalhousie.Neighbourly.authentication.service,AuthenticationServiceImpl,registerUser,15,2,1
main,com.dalhousie.Neighbourly.authentication.service,AuthenticationServiceImpl,authenticateUser,20,3,1
main,com.dalhousie.Neighbourly.authentication.service,AuthenticationServiceImpl,resendOtp,8,2,1
main,com.dalhousie.Neighbourly.authentication.service,AuthenticationServiceImpl,verifyOtp,16,3,1
main,com.dalhousie.Neighbourly.authentication.service,AuthenticationServiceImpl,prepareAndDispatchOtpMail,9,1,2
main,com.dalhousie.Neighbourly.authentication.service,AuthenticationServiceImpl,dispatchEmail,14,1,3
main,com.dalhousie.Neighbourly.authentication.service,AuthenticationServiceImpl,resetPassword,18,4,3
