Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
main,com.dalhousie.Neighbourly.authentication.controller,AuthenticationController,1,0,6,6,149,6,0,0,0.0,0,9
main,com.dalhousie.Neighbourly.authentication.entity,Otp,4,0,0,0,6,0,0,0,-1.0,3,0
main,com.dalhousie.Neighbourly.authentication.entity,PasswordReset,4,0,0,0,6,0,0,0,-1.0,3,0
main,com.dalhousie.Neighbourly.authentication.jwt,JwtService,0,0,4,0,6,4,1,0,-1.0,1,0
main,com.dalhousie.Neighbourly.authentication.jwt,JwtServiceImpl,6,0,9,4,60,9,0,1,0.3333333333333333,0,0
main,com.dalhousie.Neighbourly.authentication.repository,OtpRepository,0,0,3,0,5,3,0,0,-1.0,1,0
main,com.dalhousie.Neighbourly.authentication.repository,PasswordResetTokenRepository,0,0,1,0,3,1,0,0,-1.0,1,0
main,com.dalhousie.Neighbourly.authentication.requestEntity,AuthenticateRequest,2,0,0,0,4,0,0,0,-1.0,3,0
main,com.dalhousie.Neighbourly.authentication.requestEntity,ForgotPasswordRequest,1,0,0,0,3,0,0,0,-1.0,1,0
main,com.dalhousie.Neighbourly.authentication.requestEntity,OtpVerificationRequest,1,0,0,0,3,0,0,0,-1.0,3,0
main,com.dalhousie.Neighbourly.authentication.requestEntity,RegisterRequest,3,0,0,0,5,0,0,0,-1.0,3,0
main,com.dalhousie.Neighbourly.authentication.requestEntity,ResendOtpRequest,1,0,0,0,3,0,0,0,-1.0,1,0
main,com.dalhousie.Neighbourly.authentication.requestEntity,ResetPasswordRequest,3,0,0,0,5,0,0,0,-1.0,1,0
main,com.dalhousie.Neighbourly.authentication.responseEntity,AuthenticationResponse,4,0,0,0,6,0,0,0,-1.0,2,0
main,com.dalhousie.Neighbourly.authentication.responseEntity,PasswordResetTokenResponse,1,0,0,0,3,0,0,0,-1.0,2,0
main,com.dalhousie.Neighbourly.authentication.service,AuthenticationService,0,0,7,1,9,7,1,0,-1.0,1,3
main,com.dalhousie.Neighbourly.authentication.service,AuthenticationServiceImpl,8,0,10,7,152,20,0,1,0.2,0,12
main,com.dalhousie.Neighbourly.authentication.service,OtpService,0,0,5,0,7,5,1,0,-1.0,1,1
main,com.dalhousie.Neighbourly.authentication.service,OtpServiceImpl,4,0,6,6,40,9,0,1,0.5,0,2
main,com.dalhousie.Neighbourly.authentication.service,TokenExpiredException,0,0,1,1,5,1,0,0,-1.0,0,0
main,com.dalhousie.Neighbourly.authentication.service,ResetTokenService,0,0,4,0,6,4,1,0,-1.0,1,1
main,com.dalhousie.Neighbourly.authentication.service,ResetTokenServiceImpl,2,0,4,4,29,7,0,1,0.5,0,2
main,com.dalhousie.Neighbourly.community.controller,CreateCommunityController,2,0,3,3,35,4,0,0,0.0,0,6
main,com.dalhousie.Neighbourly.community.controller,JoinCommunityController,3,0,3,3,41,5,0,0,0.0,0,8
main,com.dalhousie.Neighbourly.community.dto,CreateCommunityDTO,5,0,0,0,7,0,0,0,-1.0,1,0
main,com.dalhousie.Neighbourly.community.dto,JoinCommunityDTO,5,0,0,0,7,0,0,0,-1.0,1,0
main,com.dalhousie.Neighbourly.community.entities,CommunityResponse,3,0,0,0,5,0,0,0,-1.0,4,1
main,com.dalhousie.Neighbourly.community.repository,JoinCommunityRepository,0,0,0,0,2,0,0,0,-1.0,0,0
main,com.dalhousie.Neighbourly.community.service,CreateCommunityService,4,0,3,3,65,9,0,0,0.6666666666666666,1,9
main,com.dalhousie.Neighbourly.community.service,JoinCommunityService,3,0,3,3,44,6,0,0,0.6666666666666666,1,7
main,com.dalhousie.Neighbourly.config,ApplicationConfig,1,0,6,5,34,6,0,0,0.6666666666666666,0,1
